Stock Symbol,Number of Shares Owned,Average Cost,Current Value,
LEA,9,114.07,166.2,
PTN,1,120.28,138.57,
WHLRP,3,80.01,136.99,
EMB,4,168.23,165.31,
VRTS,10,101.68,171.86,
FICO,4,85.45,180.25,
FLEX,4,87.58,183.91,
UBT,4,165.95,174.78,
PSTG,9,89.96,137.19,
AGD,4,154.2,101.61,
XT,2,164.31,104.21,
DVN,5,99.03,149.49,
MVC,4,161.75,118.02,
AZRE,3,163.19,174.77,
DBAW,4,101.3,164.97,
MGM,1,112.63,138.94,
VG,8,119.48,151.53,
KMPR,10,109.31,106,
TPGH,10,98.4,120.97,
CLPS,9,102.83,163.69,
STRO,3,136.66,116.52,
ACN,4,136.7,140.55,
JGH,5,138.84,190.83,
LITB,9,77.96,142.54,
NVUS,8,145.92,168.84,
PRLB,5,85.74,106.48,
EIGR,9,105.81,150.96,
VNO,4,173.32,185.28,
LQDI,5,115.61,172.2,
WAAS,4,158.62,100.03,
SLGG,5,103.24,125.21,
FF,10,115.59,186.92,
PDT,5,140.95,114.28,
MDCO,10,147.85,180.76,
GARS,4,129.52,151.68,
STRL,9,76.16,162.42,
DGRS,9,161.74,156.76,
PFSW,5,162.38,155.08,
MLPX,5,132.54,195.7,
CAC,7,87.19,179.32,
RAVI,2,169.05,171.08,
GECCL,4,167.44,175.19,
CFBI,8,169.91,104.66,
BIV,8,163.2,177.51,
MCRN,4,162.56,132.03,
VRRM,5,167.24,133.19,
PMR,9,141.92,183.45,
ROCK,5,131.08,134.35,
VTI,6,169.05,155.41,
CAI,8,142.73,167.6,
BLV,10,116.45,125.18,
UBFO,10,115.38,117.62,
EWM,9,128.27,176.05,
TRIB,7,155.44,127.78,
DIS,8,126.89,115.34,
OKE,1,150.03,107.58,
INTF,2,99.12,138.02,
PHIIK,9,168.48,157.62,
CPLG,5,92.93,115.19,
UNG,6,140.12,182.93,
DENN,9,166.63,124.38,
DGRO,7,164.22,128.28,
SMTX,1,100.52,145.07,
IBM,7,141.48,125.51,
FOCS,5,159.95,177.4,
TMCXU,9,173.97,115.96,
CMC,9,84.7,103.6,
VGSH,3,78.89,197.08,
SKY,5,170.95,178.54,
GCV,5,154.9,107.18,
GMTA,10,133.5,198.82,
APF,8,173.76,188.04,
DSGX,8,158.69,177.09,
AQN,5,156.15,143.57,
LMNX,8,144.91,192.05,
CTRE,10,85.49,154.54,
TDW,6,160.69,164.25,
TI,6,173.91,131.66,
NRT,7,108.27,127.61,
AMT,3,157.83,171.03,
WINA,1,90.32,129.54,
AVA,3,110.71,191.82,
CLCT,10,159.38,175.51,
FCAN,9,116.64,156.66,
IBCD,8,99.41,126.57,
TBX,5,123.11,100.58,
AUSF,2,126.28,149.79,
FTXL,7,133.06,112.22,
SSYS,5,136.92,109.02,
ZN,6,146.36,155.37,
TRUP,1,162.98,134.22,
EWEM,5,78.43,169.93,
COHN,8,81.92,117.84,
SCIJ,1,126.02,159.48,
IIVI,10,77.21,147.42,
SENEA,9,120.46,195.53,
CVE,10,81.77,146.81,
TRQ,9,170.85,104.87,
ITEQ,4,155.11,130.31,
MNKD,6,103.46,165.19,
BSD,3,86.36,153.18,
GFIN,5,162.33,120.13,
ROK,1,130.12,127.05,
AUO,5,173.42,141.59,
MINI,5,100.43,143.8,
NTLA,7,154.02,152.78,
MHK,2,171.71,123.07,
GLP,6,102.71,182.44,
XLK,5,145.94,162.55,
RNMC,7,98.19,191.01,
GASX,8,169.34,165.9,
ZTO,8,111.18,116.75,
TCRD,1,86.48,171.87,
ARNA,8,143.14,133.81,
FLLA,7,159.29,159.25,
ACP,10,86.37,101.79,
DYNF,8,108.99,162.02,
PRGO,8,105.46,189.73,
MGPI,2,106.8,160.68,
DRV,8,101.98,183.87,
TAPR,1,162.36,141.73,
OEF,3,139.43,177.92,
SCYX,8,136.64,152.92,
IWL,7,124.41,121.07,
HARP,1,117.3,168.88,
VSTM,8,153.99,180.25,
CHAD,7,106.98,177.76,
DWIN,9,146.57,108.22,
GNAF,2,105.09,103.55,
AVGR,2,126.16,130.53,
FNCL,2,165.28,181.41,
EWX,5,170.31,145.85,
FMNB,7,155.6,171.01,
CHCI,2,112.77,183.94,
MARPS,9,167.27,189.76,
UFS,7,108.06,132.27,
UIS,4,150.64,164.26,
POWL,1,91.72,135.83,
SNBR,5,86.05,129.44,
VBND,10,104.59,180.6,
CFG,6,107,134.41,
DVYE,7,151.14,129.72,
URI,4,136.73,110.32,
IQDF,5,75.24,148.09,
VXXB,2,98.34,103.88,
NULV,8,126.8,100.46,
ARGT,6,99.03,176.1,
NVGS,4,112.55,156.34,
FQAL,9,97.82,130.92,
MHLD,4,123.11,160.51,
OESX,6,105.98,192.51,
IETC,7,106.75,132.17,
SIEB,9,116.88,157.42,
CAG,4,161.55,121.18,
XBIT,5,90.16,144.52,
BSCE,6,108.53,159.84,
CMD,2,159.18,147.4,
FSD,3,137.61,148.47,
NCSM,7,115.4,171.29,
IAG,9,86.15,182.93,
UPS,2,137.5,113.91,
PZN,5,86.79,109.18,
GMOM,3,165.79,151.07,
RPUT,7,155.12,137.62,
BSJN,6,156.07,116.3,
CRCM,10,124.42,149.83,
EWG,7,93.23,197.54,
NUSA,7,101.67,160.15,
TIF,4,166.46,164.07,
CLNY,4,162.16,138.74,
CEQP,9,118.38,164.77,
EGHT,10,130.62,176.56,
GDG,9,138.56,167.35,
GLDW,8,167.45,147.48,
FLIA,10,117.52,192.07,
SRNE,10,112.11,105.01,
ADT,5,130.07,186.76,
RJI,9,158.95,113.44,
DFS,7,172.79,168.42,
HX,6,121.44,155.58,
IGR,1,153.02,162.48,
PFE,8,98.51,181.63,
IGA,6,116.71,108.71,
CADE,1,85.98,101.16,
JJSF,1,156.39,143.68,
RFEU,10,143.1,180.8,
RPG,1,79.65,199.39,
SBS,8,113.73,183.35,
CAT,4,135.01,144.66,
CIA,6,120.37,191.1,
ISTB,6,144.47,169.12,
PSCI,5,96.86,156.15,
OXSQZ,10,125.81,197.87,
HIVE,1,85.63,172.37,
FTLB,8,92.94,153.77,
SYBT,8,155.83,121.87,
FFIU,10,87.26,190.04,
NSP,10,141.93,192.3,
IDCC,7,173.56,152.31,
CEVA,3,137.13,197.68,
DXPE,3,156.28,130.67,
BNSO,7,101.44,152.53,
CSX,2,128.23,166.86,
BBJP,1,127.26,177.5,
KO,9,127.45,158.96,
SCM,8,171.32,103.31,
HFBC,7,159.52,115.57,
KINS,2,110.63,182.5,
RVNU,2,145.09,144.58,
ADMP,5,124.21,106.71,
LEG,6,157.95,151.52,
CVV,3,160.81,177.96,
CMFN,9,119.82,194.72,
SGBX,5,103.75,146.98,
BRKR,7,160.05,199.43,
PFNX,3,170.12,159.27,
LABD,5,165.58,143.79,
ALT,2,114.61,142.94,
FSI,5,155.94,113.03,
RBBN,3,149.59,162.24,
FIZZ,7,104.44,145.19,
XKFS,9,153.48,194.52,
DBV,7,118.58,102.87,
SAR,9,150.55,131.62,
EWCO,9,160.01,116.67,
GLL,4,91.96,175.31,
PEG,2,127.22,129.41,
AYR,3,78.05,132.55,
TDTT,8,111.39,113.49,
BAC,3,152.84,151.6,
DUKB,8,164.52,144.56,
AI,9,164.2,123.05,
IGHG,2,105.36,130.15,
KTCC,9,104.77,105.7,
EOLS,3,151.15,190.72,
MHD,2,160.49,171.2,
MFC,5,92.62,123.42,
JKJ,6,132.06,126.47,
RPM,1,150.93,126.39,
JOB,3,109.88,167.75,
RUSHA,3,167.55,157.27,
CETXW,10,97.45,109.99,
UMC,7,121.88,140.35,
DLBR,2,149.18,133.64,
PSCT,3,171.62,109.8,
AQUA,7,110.73,158.81,
BWB,9,88.67,139.95,
VTC,1,159.55,197.01,
CWK,10,99.45,136.47,
ATRS,9,79.89,171.35,
CBRL,4,148.42,127.42,
KEQU,3,125.03,113.39,
MOFG,2,88.21,123.8,
XSLV,10,81.54,197.98,
FPA,4,80.58,194.61,
TREX,6,170.34,193.86,
AMBC,9,158.34,171.06,
BCC,4,106.24,155.61,
PSI,8,107.66,143.58,
BAX,7,171.94,148.48,
CYTXZ,4,167.5,185.42,
VDE,8,83.84,135.45,
TSCO,9,146.66,112.18,
EAD,9,113.35,118.72,
PMBC,10,77.2,124.31,
PNRG,3,150.86,183.17,
HDGE,9,146.84,166.52,
CHII,5,146.3,161.28,
IGIB,6,106.29,193.94,
ICCH,7,166.27,154.41,
GLDI,5,97.6,146.91,
ATEC,7,83.39,119.27,
WVE,4,82.57,190.93,
BJUL,2,169.08,192.8,
SINO,6,153.57,195.01,
USLM,9,96.19,170.87,
MXIM,7,96.19,106.23,
UTL,1,103.74,177.53,
TERM,9,130.41,172.34,
GIS,4,100.67,163.61,
BRPAU,7,119.41,149.73,
EEMD,8,87.09,158.12,
YETI,5,153.74,129.22,
TA,1,132.57,123.3,
NP,1,130.13,101.87,
GHDX,2,115.51,186.58,
GPC,1,147.59,107.77,
SCL,5,146.19,136.51,
CMI,10,169.6,155.45,
FXG,7,86.95,144.64,
CRI,8,158.71,189.06,
COM,2,77.38,164.67,
EMHY,6,78.84,143.42,
ROX,8,134.76,100.99,
INWK,10,119.97,119.64,
FONR,9,163.7,123.68,
GSBD,7,141.83,196.27,
FXP,5,162.67,167.47,
GPN,8,88.08,125.59,
PUMP,5,149.36,137.54,
CINR,10,110.74,121.25,
SPTS,8,85.37,187.15,
UONEK,5,81.64,154.51,
BATRA,9,107.14,114.28,
AJX,1,155.93,122.77,
DBUK,5,170.12,111.47,
EQ,3,170.88,141.82,
EWO,3,142.94,193.01,
HTH,10,115.04,106.1,
ORMP,1,142.58,180.46,
RHT,5,114.77,179.72,
ATLO,10,139.54,153.61,
PYPL,5,92.51,160.26,
SOYB,6,152.41,192.4,
GD,4,113.31,136.85,
GEN,3,157.38,195.49,
SSD,3,161.6,154.9,
TOUR,5,125.62,122.84,
RST,7,120.63,126.4,
JHCS,9,104.75,193.99,
XPH,7,162.89,197.28,
DON,10,142.28,125.35,
GLRE,3,108.82,142.86,
IBTX,9,93.4,120.27,
SBOT,1,92.25,122.11,
LMRKO,9,113.88,104.49,
IWC,8,110.5,154.61,
EFZ,8,148.94,168.76,
EW,3,80.4,177.91,
XELA,5,81.48,107.67,
ARKK,4,126.55,195.56,
FFTI,3,114.86,162.85,
SBR,10,156.78,160.19,
IQDY,8,122.49,178.59,
CDXS,5,144.11,195.85,
CETV,8,102.59,198.25,
UBP,7,156.57,133.75,
DRIOW,1,165.44,107.69,
CLI,7,160.68,176.62,
TRTX,8,82.33,183.1,
IID,5,161.48,198.17,
SIF,4,137.92,138.03,
GRES,9,139.71,183.34,
ACT,10,147.88,130.83,
GNR,2,139.85,199.94,
PREF,9,153.92,127.54,
HYT,4,136.01,172.63,
BGR,9,172.71,163.07,
VWOB,10,78.17,112.28,
SNH,2,125.06,119.61,
AZO,5,116.11,169.61,
FTDR,2,129.76,132.54,
NTIC,8,142.74,197.25,
DBLV,4,142.95,170.14,
AQ,7,85.28,198.51,
APPS,3,123.46,177.43,
CHSCN,9,159.89,101.96,
PPDF,2,93.59,199.67,
BLCM,2,98.51,102.84,
XME,2,80.04,116.43,
SWM,5,144.68,157.54,
OXBR,6,171.02,112.3,
INFY,10,98.91,143.56,
PYZ,8,110.14,175.03,
PRTY,4,115.72,185.32,
JPEH,5,84.76,133.78,
KEM,10,81.35,182.2,
WBIB,7,114.08,164.31,
FSNN,4,173.41,151.34,
DDE,1,145.02,156.39,
EHC,4,99.76,189.59,
ANGO,10,87.64,185.61,
EWT,2,144.53,173.04,
ACIW,10,125.72,171.7,
FUMB,3,77.05,112.42,
IBOC,7,126.89,122.19,
FSBC,8,81.21,192.06,
CTHR,8,173.97,194.66,
MCRI,1,129.92,193.08,
STNLU,6,152.24,126.62,
BMTC,7,127.47,114.91,
AFI,6,87.28,127.55,
DVOL,10,159.39,160.6,
SBPH,4,138.58,111.33,
XSPA,5,156.33,176.9,
TWMC,9,159.39,192.32,
SPCB,10,159.76,198.53,
SDT,8,105.85,161.02,
SOGO,5,79.78,115.94,
FDC,5,141.53,193.19,
PBDM,9,123.19,109.18,
AIPT,10,157.96,121.47,
CRF,7,78.35,169.38,
ITI,8,171.79,196.49,
PRA,3,100.45,177.82,
RBCN,5,105.05,125.73,
CMCSA,7,95.37,174.02,
EGOV,10,77.74,168.39,
MVIN,2,118.3,173.17,
XTN,9,151.94,103.22,
MOG.A,8,139.25,114.93,
CATY,6,77.94,197.9,
CVI,5,107.71,164.77,
IPFF,4,161.6,161.56,
EA,3,90.34,150.53,
CAAP,7,95.98,144.11,
FLCA,10,93.95,164.48,
PPBI,4,153.96,167.22,
CBAT,4,75,110.53,
VCSH,3,111.98,150.99,
CTBI,8,105.67,115.24,
IIIV,1,108.54,181.71,
FIVE,3,96.41,177.94,
MKSI,1,90.14,128.06,
TIBRW,9,143.88,143.4,
TFX,5,75.44,164.38,
EIX,6,96.25,146.85,
SMDV,4,91.09,189.34,
BRY,8,117.84,189.34,
ESPO,1,81.28,189.84,
DBL,3,147.95,184.03,
NSEC,9,129.56,181.09,
PFN,10,172.58,102.5,
PGP,6,143.9,181.16,
MUS,2,76.79,150.04,
PSEC,2,123.73,150.48,
DTW,3,114.78,171.74,
TEN,10,170.31,151.35,
GARD,4,120.1,157.71,
FM,10,80.43,163.99,
OYLD,6,91.75,136.95,
PSMG,1,145.35,155.03,
FTHI,1,80.67,152.61,
GDDY,3,93.92,121.52,
TTWO,10,135.24,186.83,
PSO,4,83.47,135.56,
VTA,5,96.09,138.86,
SWAN,1,82.61,134.17,
IWP,8,158.46,142.79,
HBK,9,123.66,148.22,
NATR,10,105.73,164.97,
FR,5,171.84,135.33,
SHYG,8,82.56,104.52,
EVIX,2,95.78,123.44,
TMDI,6,90.17,147.2,
GDMA,9,98.13,155.68,
WB,5,120.09,140.29,
WPG,1,113.79,147.9,
BNS,10,85.88,131.37,
RIVE,9,152.16,143.55,
NVTA,2,145.95,174.28,
GPRO,1,140.22,171.12,
CBM,6,125.99,178.68,
CELP,8,91.42,162.99,
IGE,5,78.37,141.68,
PUI,5,152.15,164.81,
PI,3,125.01,173.42,
AMCIU,3,136.73,112.21,
VYM,5,146.14,186.61,
SPHS,4,98.35,127.29,
HALL,9,98.78,198.25,
ARYAU,8,164.18,126.99,
IDLV,2,91.96,141.5,
GNMX,3,124.25,157.93,
USEG,2,79.99,161.3,
LIVE,10,82.94,101.98,
CSWC,4,105.08,151.99,
MAC,6,167.52,177.25,
DGX,10,77.87,148.39,
BBUS,1,83.1,171.74,
EQS,1,131.89,195.52,
ENV,8,118.48,148.23,
CIZN,7,139.71,128.71,
GGT,9,139.63,177.96,
AFGE,2,166.06,182.96,
PDD,5,134.18,154.42,
SRS,3,167.11,184.5,
CLR,4,136.98,140.55,
VNM,9,119.07,143.42,
HIBB,1,151.3,115.04,
AZZ,7,110.82,135.45,
MMSI,2,168.59,142.45,
MTDR,5,116.87,107.17,
BPMP,8,106.65,171.8,
VNQ,4,117.89,126.39,
ANDE,2,90.43,185.57,
WF,6,164.95,141.2,
EYEN,9,118.5,166.7,
SUN,4,85.79,174.3,
TDI,6,128.51,150.6,
HAWX,2,142.97,186.42,
ATV,8,116.48,143.53,
CCXI,3,101.74,148.92,
PRTK,2,115.71,144.09,
BROGW,5,171.17,186.98,
B,4,109.58,165.93,
PETQ,3,165.94,119.4,
IBMJ,5,170.32,162.91,
SCHG,5,78.77,137.22,
SJR,5,130.64,190.73,
WLH,5,97.55,158.7,
FTSD,9,163.44,163.71,
MTECW,4,171.79,190.45,
CACG,8,87.3,194.69,
TRVN,8,138.14,190.86,
AAME,8,115.37,188.96,
LIQT,4,105.21,143.42,
HYUP,4,136.25,138.74,
ISMD,5,134,142.51,
GILD,9,106.04,161.67,
BOIL,2,92.21,184.23,
DYB,5,128.31,172.67,
DIV,6,171.47,132.98,
TENX,3,163.54,145.29,
MSL,2,99.71,108.43,
SPKEP,8,149.91,112.33,
GII,5,166.04,106.06,
ETON,7,101.57,167.32,
NUAN,4,163.54,189.84,
SFL,7,162.72,184.4,
SJI,5,116.16,101.61,
DIVC,10,128.3,118.45,
IMLP,9,167.67,114.92,
ALOT,8,97.49,103.46,
TAC,7,122.01,191.7,
FDX,2,100.9,166.61,
LION,7,168.76,121.17,
MDLX,4,80.05,147.74,
FEM,8,93.6,199.8,
LNG,2,113.18,151.05,
IBB,2,94.44,192.21,
RJF,6,159.93,109.03,
SSL,1,161.62,101.7,
WBA,3,159.81,187.71,
JMP,1,103.29,134.72,
CALF,1,155.2,124.15,
STNG,4,146.49,117.91,
CIT,1,80.32,186.48,
BAND,8,144.99,105.08,
PKI,8,163.02,143.27,
RGLS,3,101.93,162.71,
RQI,6,105.98,147.65,
NTGR,1,92,197.79,
PBS,3,92.94,146.12,
CNQ,5,97.35,174.41,
NCLH,9,93.45,118.13,
SBBX,4,119.69,189.62,
SBSI,8,167.09,158.46,
CPSS,6,89.28,191.97,
OVLU,5,147.76,179.99,
NGVC,2,120.8,170.45,
HMI,5,149.58,164.95,
LOPE,10,87.38,181.96,
TDACU,1,90.41,199.9,
AFC,3,81.15,185.77,
NBW,4,133.65,104.23,
HLF,10,146.79,112.44,
KLIC,2,141.36,168.05,
BGB,9,122.41,182.34,
OCFC,6,172.07,118.62,
MTRN,8,101.48,164.42,
ALACU,3,120.65,102.52,
EIV,10,123.94,178.43,
VO,6,152.07,193.84,
MRAM,9,126.31,163.51,
FMC,6,174.97,122.16,
GLADN,1,141.76,157.47,
INBKL,5,98.17,187.35,
BNGOW,3,76.57,134.77,
BTN,7,146.95,195.36,
PPX,9,97.32,185.37,
MBRX,3,81.66,131.02,
PD,8,130.95,143.48,
TCCO,1,125.73,120.55,
JHMU,5,120.41,171.87,
ONCS,8,164.38,171.84,
ARCC,6,112.59,138.6,
HHC,4,136.75,125.29,
CTIB,9,92.49,126.87,
PNRL,8,167.05,162.34,
DRQ,5,123.75,184.66,
ACC,2,108.4,154.84,
CHSCL,6,95.57,110.79,
DRIP,4,161.17,161.52,
ESEA,10,120.61,170.45,
ATTU,9,170.6,123.36,
CHEKZ,5,142.75,124.47,
FDHY,5,172.38,149.74,
ZG,6,152.89,167.24,
FLKS,5,168.16,159.29,
VOXX,9,142.32,171.57,
UTI,7,101.85,104.97,
VRTU,1,92.4,125.54,
GEM,1,126.44,111.71,
NEON,5,144.55,120.84,
AIRR,1,134.53,179.96,
MDC,9,159.87,147.71,
GTT,6,87.33,108.62,
GMAN,10,103.6,150.03,
TME,4,146.75,143.19,
ALGRU,6,152.23,174.04,
TOK,3,105.9,100.89,
ENT,10,114.4,181.82,
KNDI,6,97.22,196.78,
FSK,9,141.57,166.33,
TZAC,5,119.89,189.38,
HFXI,1,121.57,137.77,
FFTG,4,111.24,113.62,
JHMH,8,87.13,142.22,
SOIL,1,93.79,113.97,
FEX,3,159.74,154.73,
CDTX,7,97.26,149.15,
QCLN,8,103.27,152.07,
ISRA,10,98.34,174.3,
YMLP,8,105.12,104.39,
AMSF,3,96.26,112.8,
RLI,3,130.88,122.89,
CJJD,10,113.21,159.13,
VTWV,4,167.69,134.78,
STIP,7,172.19,153.57,
NEO,6,146.93,138.31,
FFTY,1,132.19,124.09,
NTX,6,145.39,152.36,
ELLO,6,76.88,175.7,
CSLT,6,168.68,169.34,
MYNDW,7,90.32,190.6,
DSKEW,7,101.35,110,
GPM,6,113.66,148.22,
DBEF,1,103.12,104.43,
RP,9,134.8,165.14,
SILJ,9,80.45,137.08,
AMRC,10,107.88,157.79,
TOTA,10,84.45,128.18,
AVY,8,113.1,193.59,
IOVA,9,79.57,150.79,
KTP,3,150.43,166.11,
BAPR,6,134.09,155.98,
EWBC,6,104.16,158.17,
ECF,10,96.88,186.29,
ACHC,5,124.39,146.09,
SMBK,10,105.47,115.06,
IMFC,10,88.38,111.46,
BSCP,9,95.39,120.92,
XLTY,8,154.77,159.02,
ESGRP,9,153.37,163.6,
VUZI,8,121.31,102.55,
AY,9,143.38,125.17,
BKD,10,75.46,117.85,
GT,7,119.27,139.74,
PXD,8,167.52,152.65,
DKL,9,144.43,146.64,
GNTX,7,158.42,160.02,
IQI,4,130.2,143.94,
ESGF,6,93.69,123.71,
ATR,10,150.77,165.6,
VEACW,2,158.64,175.43,
DNN,8,96.15,143.82,
RMI,5,153.16,107.8,
ECA,10,168.34,152.07,
FLS,6,169.81,144.59,
ICLR,1,144.41,114.02,
XPO,5,134.07,197.44,
AEP,10,135.2,116.17,
TAIL,4,120.77,134.86,
NANR,7,165.37,174.16,
HURC,7,137.08,121.32,
ICSH,2,174.87,142.47,
EUMF,4,137.83,120.63,
VTN,4,118.65,113.97,
CAPL,4,139.2,172.3,
AMTB,3,75.93,141.71,
CORT,6,95.77,100.79,
ADAP,2,102.68,160.99,
ROSEU,1,90.01,106.77,
YYY,10,164.57,160.66,
IDT,6,168.25,186.26,
IRM,8,147.37,186.14,
RCD,8,133.82,112.49,
KIM,3,128.08,156.14,
PCQ,3,174.41,120.35,
ERA,3,128.85,121.28,
VYGR,7,97.32,105.57,
CMTA,6,163.24,133.26,
UCTT,7,108.84,111.79,
LYB,6,116.35,101.37,
DMRM,2,134.5,158.14,
EDD,1,137.5,194.03,
UCON,7,146.49,116.38,
JCP,6,76.11,132.98,
EVSIW,1,83.23,132.39,
ELY,8,126.18,149.76,
AG,8,110.84,172.09,
XMPT,5,159.81,123.85,
CUMB,3,169.77,157.69,
AHT,3,113.55,199.05,
DFND,2,117.98,122.07,
FBNC,6,108.68,148.09,
PETZ,2,112.56,119.58,
JHMF,2,165.42,120.7,
GRSHW,10,137.94,128.93,
EXPR,1,94.33,143.63,
FFHL,7,172,179.47,
PTR,6,118.76,164.28,
MT,1,98.79,122.58,
GSSC,3,154.13,161.13,
LTL,10,110.84,104.11,
DGZ,9,89.21,101.32,
ZJPN,9,125.14,138.88,
EXI,7,77.45,192.82,
BMI,9,162.74,155.76,
BJAN,5,143.94,175.09,
JEQ,8,138.43,135.61,
LASR,6,141.48,179.38,
AGG,6,131.91,166.69,
LFC,4,143.55,145.82,
GLV,9,154.24,145.18,
PRID,1,114.04,122.91,
SPB,5,158.42,173.06,
AIZ,3,85.91,175.51,
FNV,6,134.09,126.78,
PFBI,4,174.73,195.72,
BRS,6,159.01,159.15,
BRFS,7,86.28,189.16,
KBAL,7,77.83,146.07,
EV,8,155.49,178.14,
TYNS,2,94.27,157.38,
NSC,10,100.69,196.42,
NURE,4,108.43,143.37,
WMW,10,155.06,154.28,
NMCI,3,158.03,176.89,
BIIB,1,116.76,176.63,
MSB,4,77.63,124.16,
FMAT,1,174.12,198.96,
UST,9,149.98,165.31,
OCX,6,119.58,145.8,
AMN,2,134.99,128.6,
HOG,10,159.11,154.29,
MDR,5,106.14,187.73,
VONG,4,89.75,131.31,
LOGI,2,148.87,177.86,
RCKT,3,134.78,183.14,
FDD,6,116.41,185.78,
SZO,4,84.23,184.9,
OMFS,10,141.22,123.4,
FTAI,2,107.79,167.98,
KBLM,4,152.51,191.5,
SPMO,4,118.12,175.61,
DL,6,80.16,170.27,
LVHI,1,112.61,185.02,
HTY,4,99.34,158.89,
VWO,10,162.97,118.67,
FHLC,6,103.22,123.6,
IBKC,6,94.68,196.36,
IGRO,6,85.09,162.58,
FLKR,9,140.82,158.89,
GGAL,9,142.36,136.4,
PLND,9,136.01,179.53,
VSM,10,147.48,148.21,
EPE,9,146.68,149.35,
AMCN,1,140.71,173.69,
NEED,3,76.12,161.66,
PFIE,10,94.68,153.41,
DOOR,3,162.53,173.09,
EXP,1,78.81,183.18,
NTGN,9,82.01,112.53,
ITGR,10,153.19,179.89,
ZSL,1,115.88,104.42,
RIGL,6,117.69,176.91,
SONO,9,89.78,112.11,
LMBS,4,110.4,177.83,
OPK,4,89.92,142.47,
HCI,2,151.64,162.15,
MHLA,3,100.48,113.21,
GOEX,4,145.68,180.54,
AUTL,5,116.98,187.55,
